player_id,display_name,season,age,position,college_name,draft_year,draft_round,height,weight,games,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,rushing_fumbles,receptions,targets,receiving_yards,receiving_tds,receiving_epa,fantasy_points,fantasy_points_ppr
00-0019057,Jamel White,2001,23,RB,South Dakota,,,69.0,222.0,16,126,443.0,5,27.0,-7.183335487835411,1.0,44,60,418.0,1,-22.23856879400784,124.1,168.10000000000002
00-0019057,Jamel White,2002,24,RB,South Dakota,,,69.0,222.0,14,106,470.0,3,21.0,4.410313396357433,0.0,63,86,452.0,0,-6.120202786355237,110.2,173.2
00-0019057,Jamel White,2003,25,RB,South Dakota,,,69.0,222.0,16,70,266.0,1,15.0,-15.948174974648282,1.0,46,46,303.0,1,7.810766137775711,66.9,112.9
00-0019382,KaRon Coleman,2000,22,RB,Stephen F. Austin State,,,67.0,198.0,7,53,182.0,1,10.0,-0.20204713358543813,2.0,1,3,5.0,0,-4.8496539815096185,22.7,23.7
00-0019423,Jason Brookins,2001,25,RB,Lane College; Kemper Military Junior College,,,72.0,235.0,11,151,551.0,5,31.0,-17.760850227025443,3.0,6,9,45.0,0,-1.7403827601810917,89.60000000000001,95.6
00-0019484,Sammy Morris,2000,23,RB,Texas Tech,2000.0,5.0,72.0,220.0,11,86,319.0,4,27.0,-4.78219993042876,0.0,35,41,262.0,1,3.8763820483334976,88.1,123.1
00-0019484,Sammy Morris,2004,27,RB,Texas Tech,2000.0,5.0,72.0,220.0,12,132,523.0,6,31.0,1.9760004297131673,1.0,22,22,124.0,0,-1.6572022251698866,100.7,122.7
00-0019484,Sammy Morris,2006,29,RB,Texas Tech,2000.0,5.0,72.0,220.0,12,92,400.0,1,17.0,-14.79552379732864,2.0,21,21,162.0,0,8.137591625430012,58.2,79.2
00-0019484,Sammy Morris,2007,30,RB,Texas Tech,2000.0,5.0,72.0,220.0,6,85,384.0,3,24.0,5.022082532316093,0.0,6,6,35.0,0,0.2188996596960351,59.900000000000006,65.9
00-0019484,Sammy Morris,2008,31,RB,Texas Tech,2000.0,5.0,72.0,220.0,13,156,727.0,7,45.0,9.155364390803186,1.0,17,17,161.0,0,10.924329607340042,128.8,145.8
00-0019484,Sammy Morris,2009,32,RB,Texas Tech,2000.0,5.0,72.0,220.0,12,73,319.0,2,18.0,-10.378061857481953,2.0,19,27,180.0,0,-1.8846285351319239,59.900000000000006,78.9
00-0019516,Troy Hambrick,2001,25,RB,Savannah State College; South Carolina,,,73.0,233.0,16,113,579.0,2,27.0,-1.7094121292844218,1.0,4,12,62.0,0,-6.383910100616049,74.10000000000001,78.10000000000001
00-0019516,Troy Hambrick,2002,26,RB,Savannah State College; South Carolina,,,73.0,233.0,16,79,317.0,1,16.0,-15.432691400324279,1.0,21,24,99.0,0,-7.339611410221551,45.6,66.60000000000001
00-0019516,Troy Hambrick,2003,27,RB,Savannah State College; South Carolina,,,73.0,233.0,16,275,972.0,5,57.0,-36.477694913515236,4.0,17,17,99.0,0,2.6896790373139083,131.1,148.1
00-0019516,Troy Hambrick,2004,28,RB,Savannah State College; South Carolina,,,73.0,233.0,9,63,283.0,1,12.0,-0.9661520864003998,0.0,4,4,16.0,1,0.6078907027840614,41.9,45.9
00-0019533,Patrick Pass,2005,28,RB,Georgia,2000.0,7.0,70.0,217.0,10,54,245.0,3,13.0,-2.0955286948991088,2.0,22,22,227.0,0,7.001809056731872,63.2,85.2
00-0019594,Mike Anderson,2000,27,RB,Utah; Mount San Jacinto College,2000.0,6.0,72.0,230.0,14,295,1491.0,15,77.0,17.391306503778324,4.0,23,32,169.0,0,6.691769185243174,252.0,275.0
00-0019594,Mike Anderson,2001,28,RB,Utah; Mount San Jacinto College,2000.0,6.0,72.0,230.0,16,175,678.0,4,32.0,-12.046322718352549,1.0,8,12,46.0,0,-1.650486707687378,96.4,104.4
00-0019594,Mike Anderson,2002,29,RB,Utah; Mount San Jacinto College,2000.0,6.0,72.0,230.0,15,84,386.0,2,24.0,2.5530416363124857,2.0,18,24,167.0,2,1.6269459979658398,77.3,95.3
00-0019594,Mike Anderson,2003,30,RB,Utah; Mount San Jacinto College,2000.0,6.0,72.0,230.0,10,70,257.0,3,15.0,-3.8099487904983107,2.0,12,12,53.0,2,1.0414776180696208,61.0,73.0
00-0019594,Mike Anderson,2005,32,RB,Utah; Mount San Jacinto College,2000.0,6.0,72.0,230.0,15,239,1014.0,12,62.0,20.92721047954439,1.0,18,18,212.0,1,8.895576165327466,196.60000000000002,214.60000000000002
00-0019609,Travis Prentice,2000,24,RB,Miami (Ohio),2000.0,3.0,71.0,221.0,15,171,496.0,7,29.0,-29.61556450687599,1.0,37,43,191.0,1,-11.559723094428698,114.7,151.7
00-0019610,Reuben Droughns,2004,26,RB,Oregon; Merced College,2000.0,3.0,71.0,220.0,15,275,1240.0,6,69.0,-6.520930746259998,5.0,32,32,241.0,2,9.76909939117835,190.10000000000002,222.10000000000002
00-0019610,Reuben Droughns,2005,27,RB,Oregon; Merced College,2000.0,3.0,71.0,220.0,16,309,1232.0,2,60.0,-36.612294558784924,6.0,39,39,369.0,0,13.378809685169145,170.10000000000002,209.10000000000002
00-0019610,Reuben Droughns,2006,28,RB,Oregon; Merced College,2000.0,3.0,71.0,220.0,14,220,758.0,4,38.0,-46.47409818463625,5.0,27,27,169.0,0,0.9325631182460183,108.7,135.70000000000002
00-0019610,Reuben Droughns,2007,29,RB,Oregon; Merced College,2000.0,3.0,71.0,220.0,16,85,275.0,6,27.0,-8.239990049560614,1.0,7,7,49.0,0,0.245569755482971,68.4,75.4
00-0019641,Thomas Jones,2000,22,RB,Virginia,2000.0,1.0,70.0,212.0,14,112,373.0,2,23.0,-24.392885737998057,3.0,32,46,208.0,0,-9.550739148853335,64.10000000000001,96.10000000000001
00-0019641,Thomas Jones,2001,23,RB,Virginia,2000.0,1.0,70.0,212.0,16,112,380.0,5,22.0,-9.536432390529466,2.0,21,24,151.0,0,3.6555636938787552,81.10000000000001,102.1
